Model,MSE,RMSE,MAE,R2
XGBoost,376793877.18761927,19411.179180761257,13964.888698630131,0.9317863006736203
Lasso Regression,433331101.04708374,20816.606376810887,14618.963712189372,0.9215509613472932
Ridge Regression,483911966.774348,21997.999153885517,15440.10329973754,0.9123939442743497
Polynomial Regression,497327498.4528882,22300.84075663714,15426.719778783543,0.9099652343094907
Random Forest,585190398.4554025,24190.7089283345,16402.695056196473,0.8940587830490555
